seed,fold,acc,bal_acc,macro_f1,roc_auc,recall_0,prec_0,recall_1,prec_1
1,0,0.6556776556776557,0.6506455399061033,0.599812865497076,0.7003032081377152,0.6596244131455399,0.8672839506172839,0.6416666666666667,0.34684684684684686
1,1,0.6446886446886447,0.6166666666666667,0.578764018134097,0.6471635367762129,0.6666666666666666,0.8452380952380952,0.5666666666666667,0.3238095238095238
1,2,0.6318681318681318,0.611443661971831,0.5700736875506822,0.6525919405320815,0.647887323943662,0.8440366972477065,0.575,0.3150684931506849
1,3,0.6146788990825688,0.5675490196078431,0.5404795554556259,0.5987254901960785,0.6517647058823529,0.8171091445427728,0.48333333333333334,0.2815533980582524
1,4,0.6330275229357798,0.6062254901960784,0.5683236701200773,0.6378137254901961,0.6541176470588236,0.8398791540785498,0.5583333333333333,0.3130841121495327
2,0,0.6684981684981685,0.6409037558685446,0.6021289358943906,0.6941216744913927,0.6901408450704225,0.8571428571428571,0.5916666666666667,0.3497536945812808
2,1,0.6062271062271062,0.568075117370892,0.5370965515881622,0.5883900625978091,0.636150234741784,0.8187311178247734,0.5,0.27906976744186046
2,2,0.6025641025641025,0.5747065727699531,0.538813656303643,0.6047241784037558,0.6244131455399061,0.8235294117647058,0.525,0.2825112107623318
2,3,0.618348623853211,0.5938235294117648,0.5554509803921569,0.6148823529411764,0.6376470588235295,0.8338461538461538,0.55,0.3
2,4,0.6403669724770642,0.6109313725490196,0.5740829346092504,0.6443333333333333,0.6635294117647059,0.8417910447761194,0.5583333333333333,0.319047619047619
3,0,0.6282051282051282,0.6031103286384977,0.5643759702871067,0.6403169014084507,0.647887323943662,0.8389057750759878,0.5583333333333333,0.3087557603686636
3,1,0.6318681318681318,0.5964788732394366,0.5628119684336744,0.6438478090766823,0.6596244131455399,0.8338278931750742,0.5333333333333333,0.3062200956937799
3,2,0.6593406593406593,0.6230633802816902,0.5889086787564767,0.6323943661971831,0.687793427230047,0.846820809248555,0.5583333333333333,0.335
3,3,0.6660550458715596,0.6303921568627451,0.5959608303190276,0.673421568627451,0.6941176470588235,0.8501440922190202,0.5666666666666667,0.3434343434343434
3,4,0.6091743119266055,0.5670098039215686,0.537931528605376,0.5902156862745098,0.6423529411764706,0.8173652694610778,0.49166666666666664,0.2796208530805687
