seed,fold,acc,bal_acc,macro_f1,roc_auc,recall_0,prec_0,recall_1,prec_1
1,0,0.663003663003663,0.6703051643192488,0.6119762699295513,0.6945715962441315,0.6572769953051644,0.8805031446540881,0.6833333333333333,0.35964912280701755
1,1,0.63003663003663,0.6252347417840376,0.5753099730458221,0.6706670579029734,0.6338028169014085,0.8544303797468354,0.6166666666666667,0.3217391304347826
1,2,0.6007326007326007,0.5855046948356808,0.5430436117936118,0.6204616588419405,0.6126760563380281,0.8312101910828026,0.5583333333333333,0.28879310344827586
1,3,0.6018348623853211,0.5742647058823529,0.5384258120919051,0.5982647058823529,0.6235294117647059,0.8229813664596274,0.525,0.2825112107623318
1,4,0.6201834862385321,0.6099509803921569,0.5637622820551489,0.6483137254901961,0.6282352941176471,0.8449367088607594,0.5916666666666667,0.31004366812227074
2,0,0.6575091575091575,0.6578051643192488,0.6038181712356673,0.713008607198748,0.6572769953051644,0.8722741433021807,0.6583333333333333,0.3511111111111111
2,1,0.608058608058608,0.5931924882629107,0.5500808625336927,0.5987676056338027,0.6197183098591549,0.8354430379746836,0.5666666666666667,0.2956521739130435
2,2,0.5695970695970696,0.5446009389671361,0.509583962390353,0.6038145539906103,0.5892018779342723,0.8070739549839229,0.5,0.2553191489361702
2,3,0.6073394495412844,0.5777941176470589,0.5426274509803921,0.6212254901960785,0.6305882352941177,0.8246153846153846,0.525,0.2863636363636364
2,4,0.6275229357798165,0.6176470588235294,0.5708844508399238,0.6543235294117647,0.6352941176470588,0.8490566037735849,0.6,0.31718061674008813
3,0,0.6172161172161172,0.5840962441314554,0.550014787357795,0.6226428012519563,0.6431924882629108,0.8277945619335347,0.525,0.2930232558139535
3,1,0.6245421245421245,0.5917840375586854,0.5571460788852094,0.6498239436619719,0.6502347417840375,0.8318318318318318,0.5333333333333333,0.3004694835680751
3,2,0.6355311355311355,0.6167840375586855,0.5743515613063969,0.639064945226917,0.6502347417840375,0.8470948012232415,0.5833333333333334,0.319634703196347
3,3,0.6495412844036698,0.6556862745098039,0.5986915405048017,0.6848039215686275,0.6447058823529411,0.8726114649681529,0.6666666666666666,0.3463203463203463
3,4,0.5908256880733945,0.582156862745098,0.5368842620289679,0.6166274509803922,0.5976470588235294,0.8300653594771242,0.5666666666666667,0.28451882845188287
