seed,fold,acc,bal_acc,macro_f1,roc_auc,recall_0,prec_0,recall_1,prec_1
1,0,0.6373626373626373,0.6299295774647887,0.5811650575710146,0.6737969483568075,0.6431924882629108,0.85625,0.6166666666666667,0.3274336283185841
1,1,0.5860805860805861,0.6000586854460094,0.5416468560561036,0.6230535993740218,0.5751173708920188,0.8448275862068966,0.625,0.29296875
1,2,0.5787545787545788,0.5803990610328639,0.5299094107958374,0.6043525039123631,0.5774647887323944,0.831081081081081,0.5833333333333334,0.28
1,3,0.5669724770642202,0.5190196078431373,0.4956078431372549,0.5583921568627451,0.6047058823529412,0.7907692307692308,0.43333333333333335,0.23636363636363636
1,4,0.5889908256880734,0.5720098039215686,0.5314419061655613,0.594313725490196,0.6023529411764705,0.8231511254019293,0.5416666666666666,0.2777777777777778
2,0,0.6336996336996337,0.5976525821596244,0.5642318988634912,0.644258607198748,0.6619718309859155,0.834319526627219,0.5333333333333333,0.3076923076923077
2,1,0.5659340659340659,0.5542253521126761,0.5123438412692431,0.5481514084507042,0.5751173708920188,0.813953488372093,0.5333333333333333,0.2612244897959184
2,2,0.6025641025641025,0.5657276995305165,0.5343329337551831,0.5770833333333334,0.6314553990610329,0.817629179331307,0.5,0.2764976958525346
2,3,0.563302752293578,0.5405882352941176,0.5050294593521996,0.5644803921568629,0.5811764705882353,0.8045602605863192,0.5,0.25210084033613445
2,4,0.6,0.5730882352941177,0.5370269343475279,0.6094019607843137,0.6211764705882353,0.822429906542056,0.525,0.28125
3,0,0.6172161172161172,0.5960680751173709,0.5558159178224027,0.6143485915492958,0.6338028169014085,0.8359133126934984,0.5583333333333333,0.3004484304932735
3,1,0.554945054945055,0.5561619718309859,0.5077887629611768,0.5808587636932707,0.5539906103286385,0.8166089965397924,0.5583333333333333,0.2607003891050584
3,2,0.5989010989010989,0.560387323943662,0.5300410713934797,0.5905125195618153,0.6291079812206573,0.8145896656534954,0.49166666666666664,0.271889400921659
3,3,0.6128440366972477,0.5753431372549019,0.5438172650854289,0.6216470588235294,0.6423529411764706,0.822289156626506,0.5083333333333333,0.2863849765258216
3,4,0.5688073394495413,0.5471078431372549,0.5105682109132876,0.5732941176470587,0.5858823529411765,0.8084415584415584,0.5083333333333333,0.25738396624472576
