seed,fold,acc,bal_acc,macro_f1,roc_auc,recall_0,prec_0,recall_1,prec_1
1,0,0.5934065934065934,0.5927816901408451,0.5425824175824175,0.6388595461658841,0.5938967136150235,0.8377483443708609,0.5916666666666667,0.29098360655737704
1,1,0.5476190476190477,0.5544600938967137,0.5033566933164424,0.6046948356807511,0.5422535211267606,0.8162544169611308,0.5666666666666667,0.2585551330798479
1,2,0.5769230769230769,0.5911971830985916,0.5332590747778719,0.6071791862284819,0.5657276995305164,0.8397212543554007,0.6166666666666667,0.2857142857142857
1,3,0.5761467889908257,0.551813725490196,0.5160881146674559,0.5908921568627452,0.5952941176470589,0.8108974358974359,0.5083333333333333,0.26180257510729615
1,4,0.5779816513761468,0.573921568627451,0.5269525707212511,0.5854901960784313,0.5811764705882353,0.8260869565217391,0.5666666666666667,0.2764227642276423
2,0,0.5934065934065934,0.6047535211267605,0.5474462365591397,0.651731220657277,0.5845070422535211,0.8469387755102041,0.625,0.2976190476190476
2,1,0.5622710622710623,0.5728286384976526,0.5182785696091786,0.5874119718309859,0.5539906103286385,0.8280701754385965,0.5916666666666667,0.2720306513409962
2,2,0.5695970695970696,0.5446009389671361,0.509583962390353,0.5660406885758998,0.5892018779342723,0.8070739549839229,0.5,0.2553191489361702
2,3,0.581651376146789,0.5553431372549019,0.5202316602316602,0.5699019607843138,0.6023529411764705,0.8126984126984127,0.5083333333333333,0.26521739130434785
2,4,0.563302752293578,0.5704901960784314,0.518050353724511,0.6132549019607844,0.5576470588235294,0.8257839721254355,0.5833333333333334,0.2713178294573643
3,0,0.5897435897435898,0.6053990610328639,0.5457030785688815,0.6353579812206573,0.5774647887323944,0.8482758620689655,0.6333333333333333,0.296875
3,1,0.5531135531135531,0.5549882629107981,0.5063803299097417,0.5867175273865415,0.5516431924882629,0.8159722222222222,0.5583333333333333,0.2596899224806202
3,2,0.6245421245421245,0.6067488262910798,0.5643170485817826,0.6178110328638498,0.6384976525821596,0.8421052631578947,0.575,0.3094170403587444
3,3,0.5706422018348624,0.5572549019607843,0.5160812943962115,0.5982843137254903,0.5811764705882353,0.8151815181518152,0.5333333333333333,0.2644628099173554
3,4,0.5504587155963303,0.5562745098039216,0.5056991289346942,0.5697058823529412,0.5458823529411765,0.8169014084507042,0.5666666666666667,0.26053639846743293
